2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
47420,33.5,37745,26.3,0.6,1.6,47.1,25.0,15958,1236.92,38.3,7.3,28.3,15.8,52.0,96.2,0.9,0.7,82.8,0,0,0,1205,0,0,762,2496,0,180,0,0,0,0,0,451
211033,6.8,42987,15.8,0.0,1.0,6.9,25.4,12714,8123.5,26.0,4.1,17.4,28.1,51.1,93.6,0.9,1.0,14.2,0,0,0,7108,0,0,17005,8401,0,3259,0,0,0,0,0,10547
195751,25.3,41595,20.2,0.0,2.1,33.9,29.8,10596,5513.99,35.5,7.5,26.2,17.4,48.8,91.3,2.7,1.5,61.7,0,0,0,2156,0,0,4390,4358,0,522,0,0,0,0,0,2556
19019,2.2,39633,15.8,0.0,0.0,0.0,29.4,14825,988.77,19.2,6.8,23.0,17.5,51.6,72.6,24.5,1.0,3.0,0,0,146,132,0,0,1073,724,0,83,789,0,0,0,0,593
21853,2.1,35683,18.9,0.0,0.0,0.0,19.4,7673,925.35,23.6,6.5,23.6,18.4,51.8,71.9,25.6,0.3,5.2,0,0,104,980,0,0,586,1375,0,45,281,0,0,0,0,403
41513,1.9,35343,15.5,0.0,0.6,0.0,22.8,11633,554.28,74.9,4.4,17.8,30.0,51.8,96.8,0.4,0.6,2.0,0,0,452,807,0,0,3798,1391,0,376,1374,0,0,0,0,2480
221339,10.9,54515,12.2,0.9,2.3,5.2,23.7,11332,847.36,261.2,7.2,27.0,13.0,50.5,90.0,1.9,3.4,16.2,0,0,2525,4696,0,0,11828,5650,0,2272,12863,0,0,0,0,11909
36903,1.3,38506,16.6,0.0,0.0,0.0,29.3,12738,590.23,62.5,6.0,22.6,19.8,50.8,96.3,0.4,0.6,2.3,0,0,478,469,0,0,2577,721,0,267,1213,0,0,0,0,1589
11508,6.7,30409,31.3,0.0,0.0,4.2,0.0,5978,649.23,17.7,6.9,23.4,18.3,51.1,68.3,27.6,0.5,14.3,0,0,94,106,0,0,770,593,0,45,361,0,0,0,0,393
5368,0.0,30980,14.9,0.0,0.0,0.0,0.0,3263,628.58,8.5,5.0,18.1,19.8,49.2,75.7,22.0,0.2,3.9,0,0,11,312,0,0,172,413,0,4,76,0,0,0,0,142
27446,6.8,36584,18.8,0.0,0.0,0.0,19.1,9728,630.09,43.6,5.5,22.1,21.1,50.7,94.5,0.8,0.9,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11800,3.3,26201,33.0,12.2,0.0,0.0,25.1,5446,644.3,18.3,6.7,23.2,19.2,50.8,43.5,54.6,0.5,5.6,0,0,35,247,0,0,416,1370,0,20,162,0,0,0,0,152
22995,2.6,32721,24.3,0.0,0.0,0.0,26.8,10461,866.07,26.6,4.9,19.2,16.1,52.1,73.4,24.0,0.7,4.4,0,0,144,494,0,0,694,1650,0,102,750,0,0,0,0,907
16083,0.9,31502,20.2,0.0,0.0,0.0,25.2,8255,639.47,25.2,4.3,20.4,21.4,51.1,97.4,0.6,0.2,1.8,0,0,48,656,0,0,339,960,0,15,136,0,0,0,0,276
25970,2.0,40246,15.8,0.0,0.0,0.0,27.1,11169,553.69,46.9,4.8,19.8,25.4,50.7,97.0,0.5,0.3,2.6,0,0,339,316,0,0,2530,758,0,210,1392,0,0,0,0,2227
8689,0.4,39420,17.7,0.0,0.0,0.0,0.0,1404,597.78,14.5,5.1,23.4,19.1,51.1,86.6,11.4,0.1,2.2,0,0,62,137,0,0,503,382,0,32,313,0,0,0,0,550
24552,2.9,35128,25.4,0.0,0.0,0.0,23.1,8143,766.05,32.1,5.8,21.6,16.6,52.0,61.1,36.2,0.9,2.7,0,0,208,306,0,0,1149,1008,0,103,634,0,0,0,0,943
21273,1.9,35225,24.0,0.0,0.0,0.0,16.9,13074,552.25,38.5,5.9,23.1,18.3,50.9,85.0,11.4,0.6,4.0,0,0,101,840,0,0,805,1755,0,31,498,0,0,0,0,741
96443,3.7,41393,20.6,0.0,1.2,1.3,0.0,15768,707.21,136.4,6.9,24.9,13.0,51.3,82.2,14.5,1.1,4.7,0,0,851,1862,0,0,3429,3543,0,477,3142,0,0,0,0,4108
61948,4.1,39479,20.2,0.0,1.1,1.8,21.5,7666,593.09,104.4,6.0,25.1,15.3,50.7,91.5,1.6,1.6,6.7,0,0,591,874,0,0,3392,1586,0,249,2251,0,0,0,0,3926
50902,1.7,37751,26.3,22.6,3.4,0.0,25.2,14399,609.76,83.5,7.7,27.9,12.1,52.6,45.9,51.8,0.7,2.3,0,0,165,722,0,0,1359,3379,0,91,543,0,0,0,0,792
17870,0.7,38085,17.4,0.0,0.0,0.0,26.3,9970,616.38,29.0,6.9,24.0,17.6,51.4,74.9,22.9,0.5,1.9,0,0,139,228,0,0,972,780,0,45,395,0,0,0,0,808
8116,2.5,28931,19.7,9.6,0.0,0.0,12.9,9727,667.39,12.2,5.5,22.3,20.5,51.7,56.4,41.3,0.2,2.7,0,0,26,361,0,0,163,693,0,1,90,0,0,0,0,148
13008,1.8,28680,30.1,0.0,0.0,0.0,27.4,8691,768.15,16.9,6.8,25.6,17.1,53.2,50.1,47.9,0.4,4.8,0,0,16,449,0,0,234,1342,0,5,97,0,0,0,0,75
18509,1.9,31171,28.5,6.4,0.0,0.0,0.0,10645,828.36,22.3,6.3,22.4,16.1,51.2,69.6,28.0,0.9,2.9,0,0,176,475,0,0,795,1250,0,47,557,0,0,0,0,538
113237,2.9,50314,14.6,4.5,0.7,3.6,24.4,11730,647.88,174.8,6.6,23.9,11.2,51.1,84.6,11.3,1.2,4.1,0,0,950,2774,0,0,5078,4077,0,595,5426,0,0,0,0,6228
18125,0.8,36766,20.5,0.0,0.0,0.0,19.6,7748,608.86,29.8,5.9,23.6,18.0,50.5,95.2,0.9,0.9,3.0,0,0,182,294,0,0,1229,667,0,95,601,0,0,0,0,1093
